Tarih,Sembol,Fiyat,Gunluk %,Hacim 1g,Rejim G,Rejim H,Rejim A,Cakisma,ATR %
2026-07-24,MAVI,38.96,-2.5025025025025025,1669274,0.54,0.68,0.81,0,2.8347298516885564
2026-07-24,GRTHO,246.1,-0.4852405984634116,520642,0.52,0.66,1.22,0,4.820361275917718
2026-07-24,ARASE,120.3,-1.0690789473684188,76561,0.36,0.73,0.48,0,3.3756254426864087
2026-07-24,PAHOL,1.44,-0.6896551724137937,171229726,1.06,0.57,0.72,0,2.683703675181802
2026-07-24,BTCIM,5.36,3.07692307692308,246743374,3.57,1.16,0.85,1,4.389738747353005
2026-07-24,ADGYO,52.15,-1.6037735849056631,319366,0.52,0.92,0.68,0,3.600177266806502
2026-07-24,RAYSG,172.6,-0.5760368663594471,70875,0.56,0.73,0.7,0,2.824917381055044
2026-07-24,KCAER,15.01,2.108843537414969,17037318,1.36,0.89,0.71,1,3.984132305004272
2026-07-24,SSAAT,46.16,9.95712243925679,39158963,,,,0,
2026-07-24,KUYAS,71.1,-2.868852459016405,9113806,0.49,1.6,1.14,0,6.766655523334119
2026-07-24,PSGYO,3.78,-4.545454545454549,655901674,2.19,0.61,1.42,1,6.156123534966962
2026-07-24,TRENJ,100.3,-3.650336215177711,5050894,2.33,1.13,0.91,0,4.557885305562079
2026-07-24,HEKTS,3.03,-2.572347266881031,215733850,0.52,0.86,1.21,0,5.382613164637968
2026-07-24,DAPGM,9.74,-1.3171225937183284,20564233,0.11,1.16,1.5,1,5.591647061862468
2026-07-24,SARKY,25.8,-1.1494252873563244,1928620,0.38,0.79,0.59,0,4.01797612775326
2026-07-24,LYDYE,13502.5,-0.6255749770009199,534,0.53,0.8,0.64,0,3.7820074027720767
2026-07-24,KLYPV,60.95,-2.245388933440254,858336,0.32,1.0,0.89,0,4.410660988878145
2026-07-24,BRISA,81.2,-1.2765957446808476,39611,0.22,0.97,0.78,0,3.317530608512959
2026-07-24,ISGYO,24.96,-3.255813953488371,2674570,0.63,0.65,1.84,1,5.971371359057071
2026-07-24,CMENT,280.0,-1.7543859649122806,3617,0.8,0.79,0.85,0,3.1216372485975885
2026-07-24,IZENR,10.04,0.0997008973080736,24555568,0.44,0.65,0.89,0,6.059141221293714
2026-07-24,DOFRB,155.4,-0.7662835249042074,4204846,0.97,0.66,0.63,0,5.923334699908542
2026-07-24,ESCAR,47.22,-1.6250000000000024,993090,0.54,0.79,0.44,0,4.039376570869323
2026-07-24,ECOGR,44.58,0.8597285067873199,34419409,2.05,1.31,0.96,2,4.85814804615014
2026-07-24,ULUSE,296.25,-0.336417157275021,98304,0.33,0.7,0.69,0,6.421701092494763
2026-07-24,TCKRC,139.8,0.5032350826743472,797385,0.2,0.87,0.87,0,5.873828432701594
2026-07-24,ARDYZ,68.85,-3.974895397489552,3444179,0.77,1.02,0.92,0,5.985738732533165
2026-07-24,AKSGY,9.45,-0.8394543546694656,748199,0.32,0.64,0.78,0,2.201415850450095
2026-07-24,SMRTG,12.1,-0.8196721311475381,17345741,0.57,0.82,0.81,0,5.058963672209676
2026-07-24,AVPGY,52.9,-0.0944287063267313,257680,0.33,0.98,0.7,0,3.2979028698991284
2026-07-24,NTHOL,42.96,1.129943502824868,1179682,0.65,0.65,1.21,0,3.4579309297365737
2026-07-24,ICBCT,23.88,0.2518891687657377,3245713,0.77,1.04,0.92,0,5.980521171707309
2026-07-24,CRFSA,157.2,-1.811367895065588,239581,0.33,1.09,0.65,0,4.21713069918025
2026-07-24,ALBRK,8.07,-1.2239902080783311,4506819,0.32,0.78,0.83,0,2.8514825282055045
2026-07-24,MEGMT,78.8,2.604166666666667,4208996,0.75,1.12,0.63,0,4.55599032722478
2026-07-24,IZMDC,12.46,-7.014925373134324,13365565,0.57,1.56,1.26,2,5.46963716544974
2026-07-24,BINBN,174.9,-0.8503401360544217,136057,0.55,0.59,0.78,0,4.038488933538445
2026-07-24,NETCD,140.7,-1.95121951219513,1657147,0.3,0.87,0.6,0,6.044402251961116
2026-07-24,DMRGD,12.62,-3.664122137404584,50824760,0.98,0.88,0.82,0,4.99021858527792
2026-07-24,SUNTK,42.94,5.0391389432485205,4980417,0.84,2.17,1.58,2,6.813403435088103
2026-07-24,FENER,3.05,-1.294498381877024,38484248,0.33,0.89,0.6,0,4.17908703949394
