Tarih,Sembol,Açıklama,Fiyat,"Fiyat değişimi %, 1 gün",Piyasa değeri,Halka açıklık %,"Hacim, 1 gün","Ortalama hacim, 10 gün","Ortalama hacim, 30 gün","Ortalama hacim, 60 gün","Bağıl hacim, 1 gün","Performans %, 1 hafta","Performans %, 1 ay","Performans %, 3 ay","Performans %, 6 ay","Performans %, Güncel yıl",RSI,MFI,ADX,MACD Level,MACD Signal,SMA20,SMA50,SMA200,"Yüksek, 1 ay","Yüksek, 3 ay","Yüksek, 6 ay","Yüksek, 52 hafta","Yüksek, Tüm Zamanlar","Düşük, 1 ay","Düşük, 3 ay",ATR %,"Volatilite, 1 hafta","Volatilite, 1 ay",BB Upper,BB Lower,Sektör,F/K,PD/DD,XU100
2026-07-22,SDTTR,SDT Uzay ve Savunma Teknolojileri A.S.,241.9,0.0,14030199646.0,34.569,21376,818003.7,1077357.5666666667,1438643.65,0.02263666531929654,-5.044160942100096,-2.4596774193548363,3.8643194504079004,22.419028340080978,36.589497459062684,44.43405175749952,36.57778885498942,12.987526556423662,-2.0169458365347737,-0.05874565778144336,252.87250000000017,254.23699999999994,214.83599999999996,285.75,300.0,300.0,300.0,469.29999,233.3,216.0,5.143716434338186,3.567084041330622,5.093448679138707,276.43209411789024,229.3129058821101,Electronic technology,125.36926664939104,5.214727563359802,False
2026-07-22,ISKPL,Isik Plastik Sanayi VE Dis Ticaret Pazarlama AS,9.34,0.8639308855291584,13889143522.0,33.14309999999999,28881125,103340970.70000003,103959847.46666667,87998048.06666666,0.2682214084599316,38.98809523809524,31.54929577464789,-51.50571131879544,-23.755102040816325,-20.034246575342465,55.79445402058433,85.2426776602957,32.29128611161114,-0.5172097192960106,-1.188684924871491,7.1225,11.719999999999992,12.003750000000002,9.7,23.8,23.8,23.8,23.8,5.89,5.89,8.623993261456569,13.094982077073036,9.085127301348136,9.222613092192892,5.022386907807107,Producer manufacturing,58.631512868801,4.472087756343039,False
2026-07-22,EBEBK,EBEBEK MAGAZACILIK ANONIM SIRKETI,86.05,-0.28968713789107764,13808000488.0,24.0782,46908,470327.3,460209.3,553176.9666666667,0.09265492263349515,10.889175257731962,5.19559902200489,20.433869839048278,38.6784850926672,52.3008849557522,66.35535030374396,79.5096531955433,29.980420761658046,1.4615283132505539,0.2947524162791941,77.94750000000005,79.75100000000008,64.57839999999999,86.75,88.0,88.0,88.0,88.0,73.15,70.0,3.0216594426333616,4.164650763944158,3.2656777254282283,85.66711624693696,70.22788375306314,Retail trade,76.59101023587004,2.7086187272104594,False
2026-07-22,SNGYO,Sinpas Gayrimenkul Yatirim Ortakligi A.S.,3.55,0.28248587570620864,13789180530.0,42.214299999999945,448491,14924602.600000013,17452006.30000006,25617359.199999966,0.027372397423254202,-7.552083333333335,-7.552083333333335,-4.054054054054063,-31.06796116504855,-21.286031042128606,40.30674505682073,27.85535647697499,14.882725946369362,-0.037651914960589394,-0.007080438734714158,3.748500000000001,3.731400000000001,4.322550000000006,4.05,4.08,5.45,5.45,5.45,3.52,3.32,3.5637204332131334,3.09758954260442,3.5141719457402276,3.959713162468521,3.5372868375314805,Finance,17.216294859359845,0.245999050651551,False
2026-07-22,SVGYO,Savur Gayrimenkul Yatirim Ortakligi A.S,13.16,2.8124999999999956,13754100000.0,,2566366,41910093.3,35920591.56666667,36763103.56666667,0.06133706975618646,2.732240437158467,-40.56007226738934,-15.74903969270166,229.0,229.0,30.73135141400718,31.447389480238613,37.63140252720348,-2.0533777340174506,-1.4145714832808707,17.659999999999993,18.932000000000002,,24.58,24.58,24.58,24.58,24.58,12.13,12.13,9.44166321187371,9.118731931181818,5.4736065168203005,26.00476842099293,9.315231579007056,Finance,,3.366744951161732,False
2026-07-22,BARMA,Barem Ambalaj Sanayi ve Ticaret AS,47.08,-9.980879541108985,13728749800.0,20.0,53990,2043222.400000003,2925015.9333333126,3143563.866666659,0.02381257759265996,-30.509225092250922,-33.0774697938877,-21.205020920502097,21.277691911385876,24.74827768945415,19.492580423647652,44.908902671745004,21.969114037409042,-3.091006740572773,-0.46471107481279395,67.02400000000002,65.3026,44.647000000000006,75.8,82.0,82.0,82.0,82.0,47.08,47.08,8.484177206922187,6.289116752571281,4.660404258801884,80.4800014863255,53.56799851367452,Process industries,,2.600885118550752,False
2026-07-22,GEREL,Gersan Elektrik Ticaret ve Sanayi A.S.,36.46,-0.8161044613710478,13692195183.0,55.5955,108347,11795206.60000001,10711222.233333336,9743960.533333335,0.008611989582216558,5.436668594563339,-9.84174085064292,-2.617521367521359,91.89473684210526,92.91005291005293,46.92265700676969,45.76930246775239,25.01337315197626,-1.0382966092947967,-1.1257183872939858,37.736000000000004,39.1472,27.51490000000001,47.24,47.24,47.24,47.24,47.24,29.36,29.36,6.417687750860621,6.491852446229467,7.28271893463904,45.715229035439364,29.756770964560644,Producer manufacturing,59.10196142000324,3.7819889776700832,False
2026-07-22,ASUZU,Anadolu Isuzu Otomotiv Sanayi ve Ticaret A.S. Class C,53.75,-0.3707136237256772,13595400192.0,14.8602,21563,350474.8999999948,458117.99999999965,680572.0833333324,0.05494084107413329,2.969348659003826,-11.522633744855968,-23.049391553328558,-9.663865546218487,-6.277244986922408,38.310426386633296,44.11800816184596,28.84352422649138,-1.9069391416307795,-2.0326066662055715,55.73499999999996,59.907,60.59524999999997,60.95,75.4,75.4,75.4,126.833206,52.2,52.2,3.4325461479946284,3.4826433879025482,3.12579515278475,60.02441720983443,51.44558279016548,Consumer durables,38.21814562002275,0.8539230735257157,False
2026-07-22,ISFIN,Is Finansal Kiralama A.S.,19.47,-0.35823950870010385,13586213681.0,40.014199999999995,19076,1070145.2,1316554.999999985,2099535.2166666775,0.016680030394100258,0.5681818181818152,-7.19733079122975,-6.663470757430492,1.9371727748690963,19.082568807339435,42.31467562124706,28.828863787144172,8.962215025269236,-0.1157818315683592,-0.1153367362531187,19.684500000000007,19.884200000000003,19.45220000000002,20.72,21.2,22.32,22.32,22.32,19.13,17.95,1.9661207497044766,2.2201725462636586,1.7591720389533159,20.192376953600917,19.176623046399097,Finance,3.5585042219541614,1.0378796763222704,False
2026-07-22,BMSTL,BMS Birlesik Metal Sanayi ve Ticaret AS Class B,44.82,-0.48845470692717335,13512000408.0,59.6522,51181,2343351.8999999985,3747587.63333334,4234054.449999993,0.019502063889997413,-2.7765726681128005,-5.939139559286461,5.2730475631238924,-2.0327868852459012,-1.4403518416712504,51.07759008713243,37.450110567025526,13.871730881996411,0.374387733090515,0.4167805721926205,45.088499999999996,43.173399999999944,44.025599999999976,49.3,49.6,61.45,66.0,66.0,40.22,38.325,4.023342808239058,3.767221097594351,4.06944757152354,48.683112774695054,41.49388722530494,Producer manufacturing,,9.737043345267475,False
2026-07-22,GSRAY,Galatasaray Sportif Sinai Veticari Yatirimlar A.S.,1.01,1.0000000000000009,13500000000.0,39.990700000000004,1659744,154513486.39999905,142162360.33333308,219595006.3333338,0.010508207501939685,0.0,-3.809523809523813,-14.406779661016945,-14.406779661016945,-12.931034482758614,44.61610195206889,57.733839900207656,12.416692169049949,-0.014222461989173985,-0.017225748778045717,1.0119999999999985,1.0577999999999992,1.1947000000000003,1.05,1.23,1.37,1.75,2.67865269,0.99,0.99,2.48716051200832,3.7227272727272753,2.2366573867097577,1.0335406592288874,0.9904593407711095,Consumer services,,0.8550843655020022,True
2026-07-22,GWIND,GALATA WIND ENERJI A.S.,25.0,0.08006405124099109,13489195179.0,30.0,306730,3530891.8000000017,4319827.133333313,11670258.400000002,0.0786185667204503,5.932203389830502,-7.132243684992576,-4.580152671755722,-1.0292953285827455,11.012433392539966,47.30143902351881,43.47944476957559,18.84979780010104,-0.5553668407661618,-0.6685136677549764,24.932999999999996,26.411199999999962,25.636600000000023,27.36,33.62,33.62,33.62,38.720001,23.56,23.56,2.7521997584179436,3.6054596553265936,2.3732210596182917,26.586760563080766,23.279239436919227,Utilities,16.13215461056979,0.8604841910123459,False
2026-07-22,KLSER,Kaleseramik Canakkale Kalebodur Seramik A.S.,25.84,0.4665629860031143,13240107464.0,21.559900000000003,18576,891439.8,1409246.1666666667,2194229.9166666665,0.018370087848299625,1.5723270440251516,-9.965156794425086,-5.624543462381297,-6.916426512968306,-3.2209737827715337,41.38304225108484,17.010534150700693,13.837940459497617,-0.5940841357533095,-0.6355234416823695,26.231000000000034,27.748000000000026,27.74710000000006,29.04,31.66,31.66,36.96,140.10001,25.08,25.08,2.5169373259812793,2.3033550630180732,2.2415298006870037,27.757746868340977,24.70425313165909,Producer manufacturing,,2.065938950864392,False
2026-07-22,PAGYO,Panora Gayrimenkul Yatirim Ortakligi A.S.,151.8,-0.19723865877710908,13232700531.0,64.7534,2010,122896.4,158697.96666666667,220499.91666666666,0.012062603109751083,-7.269395235186303,0.5298013245033187,20.285261489698897,72.6962457337884,82.01438848920864,51.01724078723408,50.07409963809317,50.711876315645334,4.411149386450063,6.036026617269354,154.01500000000001,141.2,107.40824999999995,177.1,177.1,177.1,177.1,177.1,136.5,120.1,5.3341655079814965,4.797504339814143,5.565013271988112,171.01385584384937,137.01614415615066,Finance,7.935678139768309,0.7826924124003228,False
2026-07-22,ZOREN,Zorlu Enerji Elektrik Uretim A.S.,2.59,-0.38461538461539346,12999999523.0,37.7996,4016944,54451602.30000033,66794096.99999971,63704984.71666663,0.0713130179507448,-2.2641509433962286,-10.99656357388317,-15.635179153094464,-16.45161290322581,-15.909090909090915,38.371597686808705,45.22513814273135,11.03508762779439,-0.08297282268440709,-0.08316174643744415,2.703500000000001,2.9140000000000037,3.1168499999999977,3.12,3.48,3.78,4.43,7.57,2.58,2.58,3.4399656363148505,2.2215077796059703,3.721619616096027,2.9080751695588183,2.4989248304411835,Utilities,,0.21201928311286872,True
2026-07-22,DGGYO,Dogus Gayrimenkul Yatirim Ortakligi A.S.,39.94,2.568053415511043,12928382574.0,100.0,20342,212523.0,282344.8333333333,216995.95,0.0885866033992311,-0.5973120955699402,-13.173913043478265,31.815181518151803,21.47201946472018,25.518541797611558,54.120596450840395,53.539799848758456,25.81632569158698,0.5674235691162366,0.8219682962905152,39.744999999999976,36.664,32.54390000000001,49.3,49.3,49.3,49.3,55.599998,35.84,30.06,7.224107475794751,6.512753481269797,8.660556822415375,44.48954423522501,35.00045576477494,Finance,,0.8693416880682744,False
2026-07-22,LOGO,Logo Yazilim Sanayi ve Ticaret A.S.,137.2,0.5128205128205044,12848721714.0,64.60000000000001,10005,471716.600000006,662451.9,832092.7666666758,0.01715687661504839,2.235469448584203,-6.220095693779919,-3.8542396636299934,-20.093185789167155,-9.736842105263165,45.618693527509606,51.821800062602804,22.32104825790409,-2.02812507719338,-2.4314266404109306,137.225,145.78799999999998,151.1885000000001,145.0,167.8,180.5,194.9,194.9,133.1,133.1,2.7179234674432564,2.114909097317248,2.399424442174443,140.4355295513418,134.0144704486582,Technology services,16.701969663769383,3.1772335929000404,False
2026-07-22,ATATR,Ata Turizm Isletmecilik Tasimacilik Madencilik Kuyumculu,15.43,0.8496732026143726,12821449023.0,34.8759,1497859,32492278.2,44899160.96666667,56922121.28333333,0.041335222459071244,5.902539464653393,-9.23529411764706,-0.7717041800643151,25.243506493506487,25.243506493506487,45.10512820049239,45.59847940709247,11.339489368701493,-0.2821680688711723,-0.27970785577729973,15.7985,16.4924,,17.82,20.2,20.2,20.2,20.2,14.55,13.65,5.941596758291806,5.795808910662052,5.391198256253642,16.8991593478456,14.697840652154403,Consumer services,,2.258459709986256,False
